Strain,Sex,DOB,Cage,Animal,Tx,Exp_Date,Exp_Type,Group,Box,Trial,CS_Time
C57BL6,M,10/7/2021,33,3,NCFE,22-02-20,E3,6CS_CSUS_100,Chamber 3,2,10
C57BL/6J,M,5/3/2021,17,1,SCFE,22-03-01,FC1,12CS_CSUS_50,Chamber 1,3,10
C57BL/6J,M,5/3/2021,17,2,SCFE,22-03-01,FC1,12CS_CSUS_50,Chamber 2,3,10
C57BL/6J,M,5/3/2021,17,3,SCFE,22-03-01,FC1,12CS_CSUS_50,Chamber 3,3,10
C57BL/6J,M,5/3/2021,17,1,SCFE,22-03-02,FC2,12CS_CSUS_50,Chamber 1,3,10
C57BL/6J,M,5/3/2021,17,2,SCFE,22-03-02,FC2,12CS_CSUS_50,Chamber 2,3,10
C57BL/6J,M,5/3/2021,17,3,SCFE,22-03-02,FC2,12CS_CSUS_50,Chamber 3,3,10
C57BL/6J,M,5/3/2021,17,1,SCFE,22-03-03,E1,12CS_CSUS_50,Chamber 1,3,10
C57BL/6J,M,5/3/2021,17,2,SCFE,22-03-03,E1,12CS_CSUS_50,Chamber 2,3,10
C57BL/6J,M,5/3/2021,17,3,SCFE,22-03-03,E1,12CS_CSUS_50,Chamber 3,3,10
C57BL/6J,M,5/3/2021,17,1,SCFE,22-03-04,E2,12CS_CSUS_50,Chamber 1,3,10
C57BL/6J,M,5/3/2021,17,2,SCFE,22-03-04,E2,12CS_CSUS_50,Chamber 2,3,10
C57BL/6J,M,5/3/2021,17,3,SCFE,22-03-04,E2,12CS_CSUS_50,Chamber 3,3,10
C57BL/6J,M,5/3/2021,17,1,SCFE,22-03-05,E3,12CS_CSUS_50,Chamber 1,3,10
C57BL/6J,M,5/3/2021,17,2,SCFE,22-03-05,E3,12CS_CSUS_50,Chamber 2,3,10
C57BL/6J,M,5/3/2021,17,3,SCFE,22-03-05,E3,12CS_CSUS_50,Chamber 3,3,10
C57BL/6J,M,5/8/2021,19,1,SCFE,22-03-01,FC1,3CS_CSUS_100,Chamber 1,7,25
C57BL/6J,M,5/8/2021,19,2,SCFE,22-03-01,FC1,3CS_CSUS_100,Chamber 2,7,25
C57BL/6J,M,5/8/2021,19,3,SCFE,22-03-01,FC1,3CS_CSUS_100,Chamber 3,7,25
C57BL/6J,M,5/8/2021,19,4,SCFE,22-03-01,FC1,3CS_CSUS_100,Chamber 4,7,25
C57BL/6J,M,5/8/2021,19,1,SCFE,22-03-02,FC2,3CS_CSUS_100,Chamber 1,7,25
C57BL/6J,M,5/8/2021,19,2,SCFE,22-03-02,FC2,3CS_CSUS_100,Chamber 2,7,25
C57BL/6J,M,5/8/2021,19,3,SCFE,22-03-02,FC2,3CS_CSUS_100,Chamber 3,7,25
C57BL/6J,M,5/8/2021,19,4,SCFE,22-03-02,FC2,3CS_CSUS_100,Chamber 4,7,25
C57BL/6J,M,5/8/2021,19,1,SCFE,22-03-03,E1,3CS_CSUS_100,Chamber 1,7,25
C57BL/6J,M,5/8/2021,19,2,SCFE,22-03-03,E1,3CS_CSUS_100,Chamber 2,7,25
C57BL/6J,M,5/8/2021,19,3,SCFE,22-03-03,E1,3CS_CSUS_100,Chamber 3,7,25
C57BL/6J,M,5/8/2021,19,4,SCFE,22-03-03,E1,3CS_CSUS_100,Chamber 4,7,25
C57BL/6J,M,5/8/2021,19,1,SCFE,22-03-04,E2,3CS_CSUS_100,Chamber 1,7,25
C57BL/6J,M,5/8/2021,19,2,SCFE,22-03-04,E2,3CS_CSUS_100,Chamber 2,7,25
C57BL/6J,M,5/8/2021,19,3,SCFE,22-03-04,E2,3CS_CSUS_100,Chamber 3,7,25
C57BL/6J,M,5/8/2021,19,4,SCFE,22-03-04,E2,3CS_CSUS_100,Chamber 4,7,25
C57BL/6J,M,5/8/2021,19,1,SCFE,22-03-05,E3,3CS_CSUS_100,Chamber 1,7,25
C57BL/6J,M,5/8/2021,19,2,SCFE,22-03-05,E3,3CS_CSUS_100,Chamber 2,7,25
C57BL/6J,M,5/8/2021,19,3,SCFE,22-03-05,E3,3CS_CSUS_100,Chamber 3,7,25
C57BL/6J,M,5/8/2021,19,4,SCFE,22-03-05,E3,3CS_CSUS_100,Chamber 4,7,25
C57BL/6J,M,7/1/2021,23,1,SCFE,22-03-01,FC1,6CS_CSUS_50,Chamber 1,4,25
C57BL/6J,M,7/1/2021,23,2,SCFE,22-03-01,FC1,6CS_CSUS_50,Chamber 2,4,25
C57BL/6J,M,7/1/2021,23,3,SCFE,22-03-01,FC1,6CS_CSUS_50,Chamber 3,4,25
C57BL/6J,M,7/1/2021,23,1,SCFE,22-03-02,FC2,6CS_CSUS_50,Chamber 1,4,25
C57BL/6J,M,7/1/2021,23,2,SCFE,22-03-02,FC2,6CS_CSUS_50,Chamber 2,4,25
C57BL/6J,M,7/1/2021,23,3,SCFE,22-03-02,FC2,6CS_CSUS_50,Chamber 3,4,25
C57BL/6J,M,7/1/2021,23,1,SCFE,22-03-03,E1,6CS_CSUS_50,Chamber 1,4,25
C57BL/6J,M,7/1/2021,23,2,SCFE,22-03-03,E1,6CS_CSUS_50,Chamber 2,4,25
C57BL/6J,M,7/1/2021,23,3,SCFE,22-03-03,E1,6CS_CSUS_50,Chamber 3,4,25
C57BL/6J,M,7/1/2021,23,1,SCFE,22-03-04,E2,6CS_CSUS_50,Chamber 1,4,25
C57BL/6J,M,7/1/2021,23,2,SCFE,22-03-04,E2,6CS_CSUS_50,Chamber 2,4,25
C57BL/6J,M,7/1/2021,23,3,SCFE,22-03-04,E2,6CS_CSUS_50,Chamber 3,4,25
C57BL/6J,M,7/1/2021,23,1,SCFE,22-03-05,E3,6CS_CSUS_50,Chamber 1,4,25
C57BL/6J,M,7/1/2021,23,2,SCFE,22-03-05,E3,6CS_CSUS_50,Chamber 2,4,25
C57BL/6J,M,7/1/2021,23,3,SCFE,22-03-05,E3,6CS_CSUS_50,Chamber 3,4,25
C57BL/6J,M,6/25/2021,25,1,SCFE,22-03-01,FC1,6CS_CSUS_100,Chamber 1,6,10
C57BL/6J,M,6/25/2021,25,2,SCFE,22-03-01,FC1,6CS_CSUS_100,Chamber 2,6,10
C57BL/6J,M,6/25/2021,25,3,SCFE,22-03-01,FC1,6CS_CSUS_100,Chamber 3,6,10
C57BL/6J,M,6/25/2021,25,4,SCFE,22-03-01,FC1,6CS_CSUS_100,Chamber 4,6,10
C57BL/6J,M,6/25/2021,25,1,SCFE,22-03-02,FC2,6CS_CSUS_100,Chamber 1,6,10
C57BL/6J,M,6/25/2021,25,2,SCFE,22-03-02,FC2,6CS_CSUS_100,Chamber 2,6,10
C57BL/6J,M,6/25/2021,25,3,SCFE,22-03-02,FC2,6CS_CSUS_100,Chamber 3,6,10
C57BL/6J,M,6/25/2021,25,4,SCFE,22-03-02,FC2,6CS_CSUS_100,Chamber 4,6,10
C57BL/6J,M,6/25/2021,25,1,SCFE,22-03-03,E1,6CS_CSUS_100,Chamber 1,6,10
C57BL/6J,M,6/25/2021,25,2,SCFE,22-03-03,E1,6CS_CSUS_100,Chamber 2,6,10
C57BL/6J,M,6/25/2021,25,3,SCFE,22-03-03,E1,6CS_CSUS_100,Chamber 3,6,10
C57BL/6J,M,6/25/2021,25,4,SCFE,22-03-03,E1,6CS_CSUS_100,Chamber 4,6,10
C57BL/6J,M,6/25/2021,25,1,SCFE,22-03-04,E2,6CS_CSUS_100,Chamber 1,6,10
C57BL/6J,M,6/25/2021,25,2,SCFE,22-03-04,E2,6CS_CSUS_100,Chamber 2,6,10
C57BL/6J,M,6/25/2021,25,3,SCFE,22-03-04,E2,6CS_CSUS_100,Chamber 3,6,10
C57BL/6J,M,6/25/2021,25,4,SCFE,22-03-04,E2,6CS_CSUS_100,Chamber 4,6,10
C57BL/6J,M,6/25/2021,25,1,SCFE,22-03-05,E3,6CS_CSUS_100,Chamber 1,6,10
C57BL/6J,M,6/25/2021,25,2,SCFE,22-03-05,E3,6CS_CSUS_100,Chamber 2,6,10
C57BL/6J,M,6/25/2021,25,3,SCFE,22-03-05,E3,6CS_CSUS_100,Chamber 3,6,10
C57BL/6J,M,6/25/2021,25,4,SCFE,22-03-05,E3,6CS_CSUS_100,Chamber 4,6,10
C57BL/6J,F,7/11/2021,29,1,SCFE,22-03-01,FC1,12CS_CSUS_50,Chamber 4,3,10
C57BL/6J,F,7/11/2021,29,2,SCFE,22-03-01,FC1,6CS_CSUS_50,Chamber 4,4,25
C57BL/6J,F,7/11/2021,29,3,SCFE,22-03-01,FC1,3CS_USCS_50,Chamber 4,5,25
C57BL/6J,F,7/11/2021,29,1,SCFE,22-03-02,FC2,12CS_CSUS_50,Chamber 4,3,10
C57BL/6J,F,7/11/2021,29,2,SCFE,22-03-02,FC2,6CS_CSUS_50,Chamber 4,4,25
C57BL/6J,F,7/11/2021,29,3,SCFE,22-03-02,FC2,3CS_USCS_50,Chamber 4,5,25
C57BL/6J,F,7/11/2021,29,1,SCFE,22-03-03,E1,12CS_CSUS_50,Chamber 4,3,10
C57BL/6J,F,7/11/2021,29,2,SCFE,22-03-03,E1,6CS_CSUS_50,Chamber 4,4,25
C57BL/6J,F,7/11/2021,29,3,SCFE,22-03-03,E1,3CS_USCS_50,Chamber 4,5,25
C57BL/6J,F,7/11/2021,29,1,SCFE,22-03-04,E2,12CS_CSUS_50,Chamber 4,3,10
C57BL/6J,F,7/11/2021,29,2,SCFE,22-03-04,E2,6CS_CSUS_50,Chamber 4,4,25
C57BL/6J,F,7/11/2021,29,3,SCFE,22-03-04,E2,3CS_USCS_50,Chamber 4,5,25
C57BL/6J,F,7/11/2021,29,1,SCFE,22-03-05,E3,12CS_CSUS_50,Chamber 4,3,10
C57BL/6J,F,7/11/2021,29,2,SCFE,22-03-05,E3,6CS_CSUS_50,Chamber 4,4,25
C57BL/6J,F,7/11/2021,29,3,SCFE,22-03-05,E3,3CS_USCS_50,Chamber 4,5,25
C57BL/6J,M,1/26/2021,51,1,NCFE,22-03-01,FC1,3CS_USCS_50,Chamber 1,1,25
C57BL/6J,M,1/26/2021,51,2,NCFE,22-03-01,FC1,3CS_USCS_50,Chamber 2,1,25
C57BL/6J,M,1/26/2021,51,3,NCFE,22-03-01,FC1,3CS_USCS_50,Chamber 3,1,25
C57BL/6J,M,1/26/2021,51,1,NCFE,22-03-02,FC2,3CS_USCS_50,Chamber 1,1,25
C57BL/6J,M,1/26/2021,51,2,NCFE,22-03-02,FC2,3CS_USCS_50,Chamber 2,1,25
C57BL/6J,M,1/26/2021,51,3,NCFE,22-03-02,FC2,3CS_USCS_50,Chamber 3,1,25
C57BL/6J,M,1/26/2021,51,1,NCFE,22-03-03,E1,3CS_USCS_50,Chamber 1,1,25
C57BL/6J,M,1/26/2021,51,2,NCFE,22-03-03,E1,3CS_USCS_50,Chamber 2,1,25
C57BL/6J,M,1/26/2021,51,3,NCFE,22-03-03,E1,3CS_USCS_50,Chamber 3,1,25
C57BL/6J,M,1/26/2021,51,1,NCFE,22-03-04,E2,3CS_USCS_50,Chamber 1,1,25
C57BL/6J,M,1/26/2021,51,2,NCFE,22-03-04,E2,3CS_USCS_50,Chamber 2,1,25
C57BL/6J,M,1/26/2021,51,3,NCFE,22-03-04,E2,3CS_USCS_50,Chamber 3,1,25
C57BL/6J,M,1/26/2021,51,1,NCFE,22-03-05,E3,3CS_USCS_50,Chamber 1,1,25
C57BL/6J,M,1/26/2021,51,2,NCFE,22-03-05,E3,3CS_USCS_50,Chamber 2,1,25
C57BL/6J,M,1/26/2021,51,3,NCFE,22-03-05,E3,3CS_USCS_50,Chamber 3,1,25
C57BL/6J,F,2/26/2021,58,1,NCFE,22-03-01,FC1,3CS_USCS_50,Chamber 1,2,25
C57BL/6J,F,2/26/2021,58,2,NCFE,22-03-01,FC1,3CS_USCS_50,Chamber 2,2,25
C57BL/6J,F,2/26/2021,58,3,NCFE,22-03-01,FC1,3CS_USCS_50,Chamber 3,2,25
C57BL/6J,F,2/26/2021,58,1,NCFE,22-03-02,FC2,3CS_USCS_50,Chamber 1,2,25
C57BL/6J,F,2/26/2021,58,2,NCFE,22-03-02,FC2,3CS_USCS_50,Chamber 2,2,25
C57BL/6J,F,2/26/2021,58,3,NCFE,22-03-02,FC2,3CS_USCS_50,Chamber 3,2,25
C57BL/6J,F,2/26/2021,58,1,NCFE,22-03-03,E1,3CS_USCS_50,Chamber 1,2,25
C57BL/6J,F,2/26/2021,58,2,NCFE,22-03-03,E1,3CS_USCS_50,Chamber 2,2,25
C57BL/6J,F,2/26/2021,58,3,NCFE,22-03-03,E1,3CS_USCS_50,Chamber 3,2,25
C57BL/6J,F,2/26/2021,58,1,NCFE,22-03-04,E2,3CS_USCS_50,Chamber 1,2,25
C57BL/6J,F,2/26/2021,58,2,NCFE,22-03-04,E2,3CS_USCS_50,Chamber 2,2,25
C57BL/6J,F,2/26/2021,58,3,NCFE,22-03-04,E2,3CS_USCS_50,Chamber 3,2,25
C57BL/6J,F,2/26/2021,58,1,NCFE,22-03-05,E3,3CS_USCS_50,Chamber 1,2,25
C57BL/6J,F,2/26/2021,58,2,NCFE,22-03-05,E3,3CS_USCS_50,Chamber 2,2,25
C57BL/6J,F,2/26/2021,58,3,NCFE,22-03-05,E3,3CS_USCS_50,Chamber 3,2,25
C57BL/6J,M,2/26/2021,60,1,SCFE,22-03-01,FC1,3CS_USCS_50,Chamber 1,5,25
C57BL/6J,M,2/26/2021,60,2,SCFE,22-03-01,FC1,3CS_USCS_50,Chamber 2,5,25
C57BL/6J,M,2/26/2021,60,3,SCFE,22-03-01,FC1,3CS_USCS_50,Chamber 3,5,25
C57BL/6J,M,2/26/2021,60,1,SCFE,22-03-02,FC2,3CS_USCS_50,Chamber 1,5,25
C57BL/6J,M,2/26/2021,60,2,SCFE,22-03-02,FC2,3CS_USCS_50,Chamber 2,5,25
C57BL/6J,M,2/26/2021,60,3,SCFE,22-03-02,FC2,3CS_USCS_50,Chamber 3,5,25
C57BL/6J,M,2/26/2021,60,1,SCFE,22-03-03,E1,3CS_USCS_50,Chamber 1,5,25
C57BL/6J,M,2/26/2021,60,2,SCFE,22-03-03,E1,3CS_USCS_50,Chamber 2,5,25
C57BL/6J,M,2/26/2021,60,3,SCFE,22-03-03,E1,3CS_USCS_50,Chamber 3,5,25
C57BL/6J,M,2/26/2021,60,1,SCFE,22-03-04,E2,3CS_USCS_50,Chamber 1,5,25
C57BL/6J,M,2/26/2021,60,2,SCFE,22-03-04,E2,3CS_USCS_50,Chamber 2,5,25
C57BL/6J,M,2/26/2021,60,3,SCFE,22-03-04,E2,3CS_USCS_50,Chamber 3,5,25
C57BL/6J,M,2/26/2021,60,1,SCFE,22-03-05,E3,3CS_USCS_50,Chamber 1,5,25
C57BL/6J,M,2/26/2021,60,2,SCFE,22-03-05,E3,3CS_USCS_50,Chamber 2,5,25
C57BL/6J,M,2/26/2021,60,3,SCFE,22-03-05,E3,3CS_USCS_50,Chamber 3,5,25
C57BL/6J,M,5/3/2021,17,1,SCFE,22-03-07,ER,12CS_CSUS_50,Chamber 1,3,10
C57BL/6J,M,5/3/2021,17,2,SCFE,22-03-07,ER,12CS_CSUS_50,Chamber 2,3,10
C57BL/6J,M,5/3/2021,17,3,SCFE,22-03-07,ER,12CS_CSUS_50,Chamber 3,3,10
C57BL/6J,M,5/8/2021,19,1,SCFE,22-03-07,ER,3CS_CSUS_100,Chamber 1,7,25
C57BL/6J,M,5/8/2021,19,2,SCFE,22-03-07,ER,3CS_CSUS_100,Chamber 2,7,25
C57BL/6J,M,5/8/2021,19,3,SCFE,22-03-07,ER,3CS_CSUS_100,Chamber 3,7,25
C57BL/6J,M,5/8/2021,19,4,SCFE,22-03-07,ER,3CS_CSUS_100,Chamber 4,7,25
C57BL/6J,M,7/1/2021,23,1,SCFE,22-03-07,ER,6CS_CSUS_50,Chamber 1,4,25
C57BL/6J,M,7/1/2021,23,2,SCFE,22-03-07,ER,6CS_CSUS_50,Chamber 2,4,25
C57BL/6J,M,7/1/2021,23,3,SCFE,22-03-07,ER,6CS_CSUS_50,Chamber 3,4,25
C57BL/6J,M,6/25/2021,25,1,SCFE,22-03-07,ER,6CS_CSUS_100,Chamber 1,6,10
C57BL/6J,M,6/25/2021,25,2,SCFE,22-03-07,ER,6CS_CSUS_100,Chamber 2,6,10
