Strain,Sex,DOB,Cage,Animal,Tx,Exp_Date,Exp_Type,Group,Box,Trial,CS_Time
C57BL/6J,M,5/30/2022,106,L2,SCFE,22-10-29,E3,30CS_CSUS_10,Chamber 2,1,25
C57BL/6J,M,5/30/2022,106,R1,SCFE,22-10-29,E3,30CS_CSUS_10,Chamber 3,1,25
C57BL/6J,M,5/30/2022,106,R2,SCFE,22-10-29,E3,30CS_CSUS_10,Chamber 4,1,25
C57BL/6J,M,5/30/2022,106,L1,SCFE,22-10-31,ER,30CS_CSUS_10,Chamber 1,1,25
C57BL/6J,M,5/30/2022,106,L2,SCFE,22-10-31,ER,30CS_CSUS_10,Chamber 2,1,25
C57BL/6J,M,5/30/2022,106,R1,SCFE,22-10-31,ER,30CS_CSUS_10,Chamber 3,1,25
C57BL/6J,M,5/30/2022,106,R2,SCFE,22-10-31,ER,30CS_CSUS_10,Chamber 4,1,25
C57BL/6J,M,5/30/2022,106,L1,SCFE,22-11-28,SR,30CS_CSUS_10,Chamber 1,1,25
C57BL/6J,M,5/30/2022,106,L2,SCFE,22-11-28,SR,30CS_CSUS_10,Chamber 2,1,25
C57BL/6J,M,5/30/2022,106,R1,SCFE,22-11-28,SR,30CS_CSUS_10,Chamber 3,1,25
C57BL/6J,M,5/30/2022,106,R2,SCFE,22-11-28,SR,30CS_CSUS_10,Chamber 4,1,25
C57BL/6J,M,5/30/2022,106,L2,SCFE,22-10-25,FC1,3CS_CSUS_100,Chamber 1,2,25
C57BL/6J,M,5/30/2022,106,L2,SCFE,22-10-26,FC2,3CS_CSUS_100,Chamber 1,2,25
C57BL/6J,M,5/30/2022,106,L2,SCFE,22-10-27,E1,3CS_CSUS_100,Chamber 1,2,25
C57BL/6J,M,5/30/2022,106,L2,SCFE,22-10-28,E2,3CS_CSUS_100,Chamber 1,2,25
C57BL/6J,M,5/30/2022,106,L2,SCFE,22-10-29,E3,3CS_CSUS_100,Chamber 1,2,25
C57BL/6J,M,5/30/2022,106,L2,SCFE,22-10-31,ER,3CS_CSUS_100,Chamber 1,2,25
C57BL/6J,M,5/30/2022,106,L2,SCFE,22-11-28,SR,3CS_CSUS_100,Chamber 1,2,25
C57BL/6J,M,7/7/2022,108,L1,SCFE,22-10-25,FC1,3CS_CSUS_100,Chamber 2,2,25
C57BL/6J,M,7/7/2022,108,L2,SCFE,22-10-25,FC1,3CS_CSUS_100,Chamber 3,2,25
C57BL/6J,M,7/7/2022,108,R1,SCFE,22-10-25,FC1,3CS_CSUS_100,Chamber 4,2,25
C57BL/6J,M,7/7/2022,108,L1,SCFE,22-10-26,FC2,3CS_CSUS_100,Chamber 2,2,25
C57BL/6J,M,7/7/2022,108,L2,SCFE,22-10-26,FC2,3CS_CSUS_100,Chamber 3,2,25
C57BL/6J,M,7/7/2022,108,R1,SCFE,22-10-26,FC2,3CS_CSUS_100,Chamber 4,2,25
C57BL/6J,M,7/7/2022,108,L1,SCFE,22-10-27,E1,3CS_CSUS_100,Chamber 2,2,25
C57BL/6J,M,7/7/2022,108,L2,SCFE,22-10-27,E1,3CS_CSUS_100,Chamber 3,2,25
C57BL/6J,M,7/7/2022,108,R1,SCFE,22-10-27,E1,3CS_CSUS_100,Chamber 4,2,25
C57BL/6J,M,7/7/2022,108,L1,SCFE,22-10-28,E2,3CS_CSUS_100,Chamber 2,2,25
C57BL/6J,M,7/7/2022,108,L2,SCFE,22-10-28,E2,3CS_CSUS_100,Chamber 3,2,25
C57BL/6J,M,7/7/2022,108,R1,SCFE,22-10-28,E2,3CS_CSUS_100,Chamber 4,2,25
C57BL/6J,M,7/7/2022,108,L1,SCFE,22-10-29,E3,3CS_CSUS_100,Chamber 2,2,25
C57BL/6J,M,7/7/2022,108,L2,SCFE,22-10-29,E3,3CS_CSUS_100,Chamber 3,2,25
C57BL/6J,M,7/7/2022,108,R1,SCFE,22-10-29,E3,3CS_CSUS_100,Chamber 4,2,25
C57BL/6J,M,7/7/2022,108,L1,SCFE,22-10-31,ER,3CS_CSUS_100,Chamber 2,2,25
C57BL/6J,M,7/7/2022,108,L2,SCFE,22-10-31,ER,3CS_CSUS_100,Chamber 3,2,25
C57BL/6J,M,7/7/2022,108,R1,SCFE,22-10-31,ER,3CS_CSUS_100,Chamber 4,2,25
C57BL/6J,M,7/7/2022,108,L1,SCFE,22-11-28,SR,3CS_CSUS_100,Chamber 2,2,25
C57BL/6J,M,7/7/2022,108,L2,SCFE,22-11-28,SR,3CS_CSUS_100,Chamber 3,2,25
C57BL/6J,M,7/7/2022,108,R1,SCFE,22-11-28,SR,3CS_CSUS_100,Chamber 4,2,25
C57BL/6J,F,7/15/2022,109,L1,SCFE,22-10-25,FC1,3CS_CSUS_100,Chamber 1,3,25
C57BL/6J,F,7/15/2022,109,L2,SCFE,22-10-25,FC1,3CS_CSUS_100,Chamber 2,3,25
C57BL/6J,F,7/15/2022,109,R1,SCFE,22-10-25,FC1,3CS_CSUS_100,Chamber 3,3,25
C57BL/6J,F,7/15/2022,109,R2,SCFE,22-10-25,FC1,3CS_CSUS_100,Chamber 4,3,25
C57BL/6J,F,7/15/2022,109,L1,SCFE,22-10-26,FC2,3CS_CSUS_100,Chamber 1,3,25
C57BL/6J,F,7/15/2022,109,L2,SCFE,22-10-26,FC2,3CS_CSUS_100,Chamber 2,3,25
C57BL/6J,F,7/15/2022,109,R1,SCFE,22-10-26,FC2,3CS_CSUS_100,Chamber 3,3,25
C57BL/6J,F,7/15/2022,109,R2,SCFE,22-10-26,FC2,3CS_CSUS_100,Chamber 4,3,25
C57BL/6J,F,7/15/2022,109,L1,SCFE,22-10-27,E1,3CS_CSUS_100,Chamber 1,3,25
C57BL/6J,F,7/15/2022,109,L2,SCFE,22-10-27,E1,3CS_CSUS_100,Chamber 2,3,25
C57BL/6J,F,7/15/2022,109,R1,SCFE,22-10-27,E1,3CS_CSUS_100,Chamber 3,3,25
C57BL/6J,F,7/15/2022,109,R2,SCFE,22-10-27,E1,3CS_CSUS_100,Chamber 4,3,25
C57BL/6J,F,7/15/2022,109,L1,SCFE,22-10-28,E2,3CS_CSUS_100,Chamber 1,3,25
C57BL/6J,F,7/15/2022,109,L2,SCFE,22-10-28,E2,3CS_CSUS_100,Chamber 2,3,25
C57BL/6J,F,7/15/2022,109,R1,SCFE,22-10-28,E2,3CS_CSUS_100,Chamber 3,3,25
C57BL/6J,F,7/15/2022,109,R2,SCFE,22-10-28,E2,3CS_CSUS_100,Chamber 4,3,25
C57BL/6J,F,7/15/2022,109,L1,SCFE,22-10-29,E3,3CS_CSUS_100,Chamber 1,3,25
C57BL/6J,F,7/15/2022,109,L2,SCFE,22-10-29,E3,3CS_CSUS_100,Chamber 2,3,25
C57BL/6J,F,7/15/2022,109,R1,SCFE,22-10-29,E3,3CS_CSUS_100,Chamber 3,3,25
C57BL/6J,F,7/15/2022,109,R2,SCFE,22-10-29,E3,3CS_CSUS_100,Chamber 4,3,25
C57BL/6J,F,7/15/2022,109,L1,SCFE,22-10-31,ER,3CS_CSUS_100,Chamber 1,3,25
C57BL/6J,F,7/15/2022,109,L2,SCFE,22-10-31,ER,3CS_CSUS_100,Chamber 2,3,25
C57BL/6J,F,7/15/2022,109,R1,SCFE,22-10-31,ER,3CS_CSUS_100,Chamber 3,3,25
C57BL/6J,F,7/15/2022,109,R2,SCFE,22-10-31,ER,3CS_CSUS_100,Chamber 4,3,25
C57BL/6J,F,7/15/2022,109,L1,SCFE,22-11-28,SR,3CS_CSUS_100,Chamber 1,3,25
C57BL/6J,F,7/15/2022,109,L2,SCFE,22-11-28,SR,3CS_CSUS_100,Chamber 2,3,25
C57BL/6J,F,7/15/2022,109,R1,SCFE,22-11-28,SR,3CS_CSUS_100,Chamber 3,3,25
C57BL/6J,F,7/15/2022,109,R2,SCFE,22-11-28,SR,3CS_CSUS_100,Chamber 4,3,25
C57BL/6J,F,5/3/2022,114,L1,SCFE,22-10-25,FC1,3CS_CSUS_100,Chamber 1,4,25
C57BL/6J,F,5/3/2022,114,L2,SCFE,22-10-25,FC1,30CS_CSUS_10,Chamber 2,4,25
C57BL/6J,F,5/30/2022,107,R1,SCFE,22-10-25,FC1,30CS_CSUS_10,Chamber 3,4,25
C57BL/6J,F,5/30/2022,107,R2,SCFE,22-10-25,FC1,30CS_CSUS_10,Chamber 4,4,25
C57BL/6J,F,5/3/2022,114,L1,SCFE,22-10-26,FC2,30CS_CSUS_10,Chamber 1,4,25
C57BL/6J,F,5/3/2022,114,L2,SCFE,22-10-26,FC2,30CS_CSUS_10,Chamber 2,4,25
C57BL/6J,F,5/30/2022,107,R1,SCFE,22-10-26,FC2,30CS_CSUS_10,Chamber 3,4,25
C57BL/6J,F,5/30/2022,107,R2,SCFE,22-10-26,FC2,30CS_CSUS_10,Chamber 4,4,25
C57BL/6J,F,5/3/2022,114,L1,SCFE,22-10-27,E1,30CS_CSUS_10,Chamber 1,4,25
C57BL/6J,F,5/3/2022,114,L2,SCFE,22-10-27,E1,30CS_CSUS_10,Chamber 2,4,25
C57BL/6J,F,5/30/2022,107,R1,SCFE,22-10-27,E1,30CS_CSUS_10,Chamber 3,4,25
C57BL/6J,F,5/30/2022,107,R2,SCFE,22-10-27,E1,30CS_CSUS_10,Chamber 4,4,25
C57BL/6J,F,5/3/2022,114,L1,SCFE,22-10-28,E2,30CS_CSUS_10,Chamber 1,4,25
C57BL/6J,F,5/3/2022,114,L2,SCFE,22-10-28,E2,30CS_CSUS_10,Chamber 2,4,25
C57BL/6J,F,5/30/2022,107,R1,SCFE,22-10-28,E2,30CS_CSUS_10,Chamber 3,4,25
C57BL/6J,F,5/30/2022,107,R2,SCFE,22-10-28,E2,30CS_CSUS_10,Chamber 4,4,25
C57BL/6J,F,5/3/2022,114,L1,SCFE,22-10-29,E3,30CS_CSUS_10,Chamber 1,4,25
C57BL/6J,F,5/3/2022,114,L2,SCFE,22-10-29,E3,30CS_CSUS_10,Chamber 2,4,25
C57BL/6J,F,5/30/2022,107,R1,SCFE,22-10-29,E3,30CS_CSUS_10,Chamber 3,4,25
C57BL/6J,F,5/30/2022,107,R2,SCFE,22-10-29,E3,30CS_CSUS_10,Chamber 4,4,25
C57BL/6J,F,5/3/2022,114,L1,SCFE,22-10-31,ER,30CS_CSUS_10,Chamber 1,4,25
C57BL/6J,F,5/3/2022,114,L2,SCFE,22-10-31,ER,30CS_CSUS_10,Chamber 2,4,25
C57BL/6J,F,5/30/2022,107,R1,SCFE,22-10-31,ER,30CS_CSUS_10,Chamber 3,4,25
C57BL/6J,F,5/30/2022,107,R2,SCFE,22-10-31,ER,30CS_CSUS_10,Chamber 4,4,25
C57BL/6J,F,5/3/2022,114,L1,SCFE,22-11-28,SR,30CS_CSUS_10,Chamber 1,4,25
C57BL/6J,F,5/3/2022,114,L2,SCFE,22-11-28,SR,30CS_CSUS_10,Chamber 2,4,25
C57BL/6J,F,5/30/2022,107,R1,SCFE,22-11-28,SR,30CS_CSUS_10,Chamber 3,4,25
C57BL/6J,F,5/30/2022,107,R2,SCFE,22-11-28,SR,30CS_CSUS_10,Chamber 4,4,25
C57BL/6J,F,8/16/2022,110,L1,SCFE,22-11-05,FC1,6CS_CSUS_50,Chamber 1,1,25
C57BL/6J,F,8/16/2022,110,L2,SCFE,22-11-05,FC1,6CS_CSUS_50,Chamber 2,1,25
C57BL/6J,F,8/16/2022,110,R1,SCFE,22-11-05,FC1,6CS_CSUS_50,Chamber 3,1,25
C57BL/6J,F,8/16/2022,110,R2,SCFE,22-11-05,FC1,6CS_CSUS_50,Chamber 4,1,25
C57BL/6J,F,8/16/2022,110,L1,SCFE,22-11-06,FC2,6CS_CSUS_50,Chamber 1,1,25
C57BL/6J,F,8/16/2022,110,L2,SCFE,22-11-06,FC2,6CS_CSUS_50,Chamber 2,1,25
C57BL/6J,F,8/16/2022,110,R1,SCFE,22-11-06,FC2,6CS_CSUS_50,Chamber 3,1,25
C57BL/6J,F,8/16/2022,110,R2,SCFE,22-11-06,FC2,6CS_CSUS_50,Chamber 4,1,25
C57BL/6J,F,8/16/2022,110,R1,SCFE,22-11-07,E1,6CS_CSUS_50,Chamber 1,1,25
C57BL/6J,F,8/16/2022,110,R2,SCFE,22-11-07,E1,6CS_CSUS_50,Chamber 2,1,25
C57BL/6J,F,8/16/2022,110,L1,SCFE,22-11-07,E1,6CS_CSUS_50,Chamber 3,1,25
C57BL/6J,F,8/16/2022,110,L2,SCFE,22-11-07,E1,6CS_CSUS_50,Chamber 4,1,25
C57BL/6J,F,8/16/2022,110,L1,SCFE,22-11-08,E2,6CS_CSUS_50,Chamber 1,1,25
C57BL/6J,F,8/16/2022,110,L2,SCFE,22-11-08,E2,6CS_CSUS_50,Chamber 2,1,25
C57BL/6J,F,8/16/2022,110,R1,SCFE,22-11-08,E2,6CS_CSUS_50,Chamber 3,1,25
C57BL/6J,F,8/16/2022,110,R2,SCFE,22-11-08,E2,6CS_CSUS_50,Chamber 4,1,25
C57BL/6J,F,8/16/2022,110,L1,SCFE,22-11-09,E3,6CS_CSUS_50,Chamber 1,1,25
C57BL/6J,F,8/16/2022,110,L2,SCFE,22-11-09,E3,6CS_CSUS_50,Chamber 2,1,25
C57BL/6J,F,8/16/2022,110,R1,SCFE,22-11-09,E3,6CS_CSUS_50,Chamber 3,1,25
C57BL/6J,F,8/16/2022,110,R2,SCFE,22-11-09,E3,6CS_CSUS_50,Chamber 4,1,25
C57BL/6J,F,8/16/2022,110,L1,SCFE,22-11-11,ER,6CS_CSUS_50,Chamber 1,1,25
C57BL/6J,F,8/16/2022,110,L2,SCFE,22-11-11,ER,6CS_CSUS_50,Chamber 2,1,25
C57BL/6J,F,8/16/2022,110,R1,SCFE,22-11-11,ER,6CS_CSUS_50,Chamber 3,1,25
C57BL/6J,F,8/16/2022,110,R2,SCFE,22-11-11,ER,6CS_CSUS_50,Chamber 4,1,25
C57BL/6J,F,8/16/2022,110,L1,SCFE,22-12-10,SR,6CS_CSUS_50,Chamber 1,1,25
C57BL/6J,F,8/16/2022,110,L2,SCFE,22-12-10,SR,6CS_CSUS_50,Chamber 2,1,25
C57BL/6J,F,8/16/2022,110,R1,SCFE,22-12-10,SR,6CS_CSUS_50,Chamber 3,1,25
C57BL/6J,F,8/16/2022,110,R2,SCFE,22-12-10,SR,6CS_CSUS_50,Chamber 4,1,25
C57BL/6J,M,8/18/2022,111,L1,SCFE,22-11-05,FC1,6CS_CSUS_50,Chamber 1,2,25
C57BL/6J,M,8/18/2022,111,L2,SCFE,22-11-05,FC1,6CS_CSUS_50,Chamber 2,2,25
C57BL/6J,M,8/18/2022,111,R1,SCFE,22-11-05,FC1,6CS_CSUS_50,Chamber 3,2,25
C57BL/6J,M,8/18/2022,111,R2,SCFE,22-11-05,FC1,6CS_CSUS_50,Chamber 4,2,25
C57BL/6J,M,8/18/2022,111,L1,SCFE,22-11-06,FC2,6CS_CSUS_50,Chamber 1,2,25
C57BL/6J,M,8/18/2022,111,L2,SCFE,22-11-06,FC2,6CS_CSUS_50,Chamber 2,2,25
C57BL/6J,M,8/18/2022,111,R1,SCFE,22-11-06,FC2,6CS_CSUS_50,Chamber 3,2,25
C57BL/6J,M,8/18/2022,111,R2,SCFE,22-11-06,FC2,6CS_CSUS_50,Chamber 4,2,25
C57BL/6J,M,8/18/2022,111,R1,SCFE,22-11-07,E1,6CS_CSUS_50,Chamber 1,2,25
C57BL/6J,M,8/18/2022,111,R2,SCFE,22-11-07,E1,6CS_CSUS_50,Chamber 2,2,25
C57BL/6J,M,8/18/2022,111,L1,SCFE,22-11-07,E1,6CS_CSUS_50,Chamber 3,2,25
C57BL/6J,M,8/18/2022,111,L2,SCFE,22-11-07,E1,6CS_CSUS_50,Chamber 4,2,25
C57BL/6J,M,8/18/2022,111,L1,SCFE,22-11-08,E2,6CS_CSUS_50,Chamber 1,2,25
C57BL/6J,M,8/18/2022,111,L2,SCFE,22-11-08,E2,6CS_CSUS_50,Chamber 2,2,25
C57BL/6J,M,8/18/2022,111,R1,SCFE,22-11-08,E2,6CS_CSUS_50,Chamber 3,2,25
C57BL/6J,M,8/18/2022,111,R2,SCFE,22-11-08,E2,6CS_CSUS_50,Chamber 4,2,25
C57BL/6J,M,8/18/2022,111,L1,SCFE,22-11-09,E3,6CS_CSUS_50,Chamber 1,2,25
C57BL/6J,M,8/18/2022,111,L2,SCFE,22-11-09,E3,6CS_CSUS_50,Chamber 2,2,25
C57BL/6J,M,8/18/2022,111,R1,SCFE,22-11-09,E3,6CS_CSUS_50,Chamber 3,2,25
C57BL/6J,M,8/18/2022,111,R2,SCFE,22-11-09,E3,6CS_CSUS_50,Chamber 4,2,25
C57BL/6J,M,8/18/2022,111,L1,SCFE,22-11-11,ER,6CS_CSUS_50,Chamber 1,2,25
C57BL/6J,M,8/18/2022,111,L2,SCFE,22-11-11,ER,6CS_CSUS_50,Chamber 2,2,25
C57BL/6J,M,8/18/2022,111,R1,SCFE,22-11-11,ER,6CS_CSUS_50,Chamber 3,2,25
C57BL/6J,M,8/18/2022,111,R2,SCFE,22-11-11,ER,6CS_CSUS_50,Chamber 4,2,25
C57BL/6J,M,8/18/2022,111,L1,SCFE,22-12-10,SR,6CS_CSUS_50,Chamber 1,2,25
C57BL/6J,M,8/18/2022,111,L2,SCFE,22-12-10,SR,6CS_CSUS_50,Chamber 2,2,25
C57BL/6J,M,8/18/2022,111,R1,SCFE,22-12-10,SR,6CS_CSUS_50,Chamber 3,2,25
C57BL/6J,M,8/18/2022,111,R2,SCFE,22-12-10,SR,6CS_CSUS_50,Chamber 4,2,25
